"Country.of.sample","Health.outcome.source","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ma_method","mean","lb","ub","p","k","kc","set","set_es","full_set","rank","ci"
"USA","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.172894242856982,0.113923792542861,0.231864693171103,9.11754443911604e-09,24,3,"2,11,18","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,61,68,69,70,71,72",0,32,0.117940900628242
"UK","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.177168262139776,-0.196509858305546,0.550846382585099,0.352755353967958,13,4,"4,6,10,13","30,31,32,42,53,54,55,56,57,58,59,60,63",0,33,0.747356240890645
"USA","Self-report data","None","ML",0.178550642608396,0.10294791672427,0.254153368492522,3.6772191374812e-06,16,3,"2,11,18","3,4,5,6,7,8,9,10,11,19,61,68,69,70,71,72",0,34,0.151205451768251
"USA","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.182146114579669,0.1282210408574,0.236071188301938,3.58485953977278e-11,28,6,"1,2,7,11,16,18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,43,61,66,68,69,70,71,72",0,35,0.107850147444538
"USA","all_Health.outcome.source","Multivariate","ML",0.191190124006002,0.121002963310278,0.261377284701727,9.34863046065185e-08,3,2,"1,2","1,2,20",0,36,0.140374321391449
"USA","Self-report data","None","REML",0.19240215424606,0.0618425662401429,0.322961742251977,0.00387273339582013,16,3,"2,11,18","3,4,5,6,7,8,9,10,11,19,61,68,69,70,71,72",0,37,0.261119176011834
"USA","Self-report data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.192442823339818,0.054096485381872,0.330789161297764,0.00640384011877745,24,3,"2,11,18","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,61,68,69,70,71,72",0,38,0.276692675915892
"USA","all_Health.outcome.source","Multivariate","REML",0.205979462361605,0.0898743291850041,0.322084595538206,0.000506817131494558,3,2,"1,2","1,2,20",0,39,0.232210266353202
"USA","all_Health.outcome.source","None","ML",0.228704482624156,0.112755481062886,0.344653484185427,0.000110659539052375,18,5,"2,7,11,16,18","3,4,5,6,7,8,9,10,11,19,43,61,66,68,69,70,71,72",0,40,0.231898003122541
"USA","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.230396090011051,0.108187808215467,0.352604371806636,0.000219827046080015,28,6,"1,2,7,11,16,18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,43,61,66,68,69,70,71,72",0,41,0.244416563591169
"New Zealand","Physical or psychiatric examination","None","REML",0.251279036173345,0.143290407351539,0.359267664995152,5.09965963643976e-06,5,1,"8","45,46,47,48,49",0,42,0.215977257643613
"New Zealand","Physical or psychiatric examination","None","ML",0.251279036229873,0.143290407546789,0.359267664912958,5.09965946922837e-06,5,1,"8","45,46,47,48,49",0,43,0.215977257366169
"all_Country.of.sample","Register data","Multivariate","REML",0.259625918244187,0.107854142198791,0.411397694289584,0.000800041312799057,6,2,"1,3","1,2,21,23,25,27",0,44,0.303543552090792
"all_Country.of.sample","Register data","Multivariate","ML",0.260407239142837,0.121682910987643,0.39913156729803,0.000234004682023738,6,2,"1,3","1,2,21,23,25,27",0,45,0.277448656310387
"New Zealand","all_Health.outcome.source","None","REML",0.261846872647274,0.155514025788697,0.368179719505851,1.38986488764775e-06,6,1,"8","44,45,46,47,48,49",0,46,0.212665693717154
"New Zealand","all_Health.outcome.source","None","ML",0.261846872864727,0.155514026923544,0.36817971880591,1.38986456922737e-06,6,1,"8","44,45,46,47,48,49",0,47,0.212665691882366
"USA","all_Health.outcome.source","None","REML",0.279912238711381,0.0941914071516194,0.465633070271143,0.00313691830669194,18,5,"2,7,11,16,18","3,4,5,6,7,8,9,10,11,19,43,61,66,68,69,70,71,72",0,48,0.371441663119524
"Sweden","Register data","Multivariate","REML",0.307514303807692,0.0919427635284728,0.523085844086911,0.00517550472151423,4,1,"3","21,23,25,27",0,49,0.431143080558438
"Sweden","Register data","Multivariate","ML",0.308348014292645,0.122273979275733,0.494422049309556,0.00116257609934297,4,1,"3","21,23,25,27",0,50,0.372148070033823
"UK","all_Health.outcome.source","None","ML",0.308354680460742,-0.124437218843538,0.741146579765022,0.16258471516201,5,4,"4,6,10,13","30,42,53,57,63",0,51,0.86558379860856
"all_Country.of.sample","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.309001775292119,0.178535597405103,0.439467953179136,3.44945932362064e-06,72,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72",1,52,0.260932355774033
"all_Country.of.sample","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.311946040539045,0.176652466891181,0.44723961418691,6.210779383068e-06,72,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18","1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72",1,53,0.270587147295729
"UK","all_Health.outcome.source","None","REML",0.334783194677182,-0.168344917846527,0.837911307200892,0.192176700900234,5,4,"4,6,10,13","30,42,53,57,63",0,54,1.00625622504742
"all_Country.of.sample","Physical or psychiatric examination","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.362821734347596,0.190489801833073,0.535153666862119,3.68420651073166e-05,13,7,"4,5,8,9,14,15,16","31,32,41,45,46,47,48,49,50,52,64,65,66",0,55,0.344663865029046
"all_Country.of.sample","Physical or psychiatric examination","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.376136378816054,0.180899536200568,0.57137322143154,0.000159368830833528,13,7,"4,5,8,9,14,15,16","31,32,41,45,46,47,48,49,50,52,64,65,66",0,56,0.390473685230972
"all_Country.of.sample","all_Health.outcome.source","None","ML",0.37905705565376,0.232678048995084,0.525436062312436,3.86596009241704e-07,49,16,"2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18","3,4,5,6,7,8,9,10,11,19,22,24,26,28,29,30,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,57,61,63,64,65,66,67,68,69,70,71,72",0,57,0.292758013317352
"all_Country.of.sample","all_Health.outcome.source","None","REML",0.383160406018475,0.230507854269852,0.535812957767098,8.67470802261053e-07,49,16,"2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18","3,4,5,6,7,8,9,10,11,19,22,24,26,28,29,30,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,57,61,63,64,65,66,67,68,69,70,71,72",0,58,0.305305103497246
"Sweden","Register data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.397912243052374,0.250638952261309,0.545185533843439,1.18656116602591e-07,9,1,"3","21,22,23,24,25,26,27,28,29",0,59,0.29454658158213
"Sweden","Register data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.399174822755365,0.241174434108841,0.557175211401889,7.35733382990881e-07,9,1,"3","21,22,23,24,25,26,27,28,29",0,60,0.316000777293049
"all_Country.of.sample","Register data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.409477322503949,0.185005123314733,0.633949521693165,0.000349794646468372,21,5,"1,3,5,6,17","1,2,21,22,23,24,25,26,27,28,29,33,34,35,36,37,38,39,40,42,67",0,61,0.448944398378432
"Sweden","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","ML",0.412711987022971,0.277827891242963,0.547596082802979,2.00989565098187e-09,10,2,"3,15","21,22,23,24,25,26,27,28,29,65",0,62,0.269768191560015
"all_Country.of.sample","Physical or psychiatric examination","None","ML",0.413568380737324,0.263293785122427,0.563842976352221,6.89114199355343e-08,11,6,"5,8,9,14,15,16","41,45,46,47,48,49,50,52,64,65,66",0,63,0.300549191229794
"Sweden","all_Health.outcome.source","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.413719769141479,0.270151321074819,0.557288217208139,1.62316942132376e-08,10,2,"3,15","21,22,23,24,25,26,27,28,29,65",0,64,0.28713689613332
"all_Country.of.sample","Physical or psychiatric examination","None","REML",0.428657338534447,0.252240448083155,0.605074228985738,1.9138386408715e-06,11,6,"5,8,9,14,15,16","41,45,46,47,48,49,50,52,64,65,66",0,65,0.352833780902583
"all_Country.of.sample","Register data","all_Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","REML",0.430203595547566,0.154564168803659,0.705843022291474,0.00222070300602352,21,5,"1,3,5,6,17","1,2,21,22,23,24,25,26,27,28,29,33,34,35,36,37,38,39,40,42,67",0,66,0.551278853487814
"Sweden","Register data","None","ML",0.474044071156461,0.270572620519474,0.677515521793447,4.96435873257648e-06,5,1,"3","22,24,26,28,29",0,67,0.406942901273972
"Sweden","Register data","None","REML",0.478130896674567,0.245198608078368,0.711063185270766,5.7427200316567e-05,5,1,"3","22,24,26,28,29",0,68,0.465864577192397
"Sweden","all_Health.outcome.source","None","ML",0.483952062233499,0.316779088790208,0.651125035676789,1.39553969485724e-08,6,2,"3,15","22,24,26,28,29,65",0,69,0.334345946886582
"Sweden","all_Health.outcome.source","None","REML",0.487114473769139,0.299827271416792,0.674401676121487,3.4387438802462e-07,6,2,"3,15","22,24,26,28,29,65",0,70,0.374574404704695
"all_Country.of.sample","Register data","None","ML",0.517335579478909,0.244011701467567,0.790659457490251,0.000207476457586587,15,4,"3,5,6,17","22,24,26,28,29,33,34,35,36,37,38,39,40,42,67",0,71,0.546647756022684
"all_Country.of.sample","Register data","None","REML",0.538485461142669,0.208822549378855,0.868148372906483,0.00136719404098846,15,4,"3,5,6,17","22,24,26,28,29,33,34,35,36,37,38,39,40,42,67",0,72,0.659325823527628
"all_Country.of.sample","Hospital case data","None","ML",0.795265916362333,0.471156197063018,1.11937563566165,1.51572741417707e-06,3,3,"4,7,8","30,43,44",0,73,0.64821943859863
"all_Country.of.sample","Hospital case data","None","REML",0.795265916467272,0.471156197572097,1.11937563536245,1.51572736390032e-06,3,3,"4,7,8","30,43,44",0,74,0.648219437790351
"Israel","all_Health.outcome.source","None","ML",0.889390275694519,0.845826362703484,0.932954188685553,0,2,2,"14,17","64,67",0,75,0.0871278259820687
"Israel","all_Health.outcome.source","None","REML",0.889390276187573,0.845826346056583,0.932954206318562,0,2,2,"14,17","64,67",0,76,0.0871278602619796
