"","Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow"
"11","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,700,238,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Heart diseases","National Health Service Central Register","Register data",NA,"HR",1.16,1.03,1.32,NA,1.16,0.148420005118273,0.0295588022415444,0.27763173659828,0.00400485349596269,0.0632839118256978,"sex",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,20,65,57,90,"Scottish Mental Survey 1932","None","No","Heart diseases",NA,"Hart et al. (2004)",0.0295588022415444,0.27763173659828,NA,NA
"12","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,538,400,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Cardiovascular disease","National Health Service Central Register","Register data",NA,"HR",1.09,0.99,1.21,NA,1.09,0.0861776962410524,-0.0100503358535015,0.19062035960865,0.00262057007609222,0.0511915039444263,"sex, smoking",2,"Yes","Smoking",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,21,65,57,90,"Scottish Mental Survey 1932","Smoking","Yes","Cardiovascular disease",NA,"Hart et al. (2004)",-0.0100503358535015,0.19062035960865,NA,NA
"13","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,538,400,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Cardiovascular disease","National Health Service Central Register","Register data",NA,"HR",1.08,0.97,1.21,NA,1.08,0.0769610411361284,-0.0304592074847086,0.19062035960865,0.00318071734343676,0.0563978487483057,"sex, adult SES",2,"Yes","Adult SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,22,65,57,90,"Scottish Mental Survey 1932","Adult SES","Yes","Cardiovascular disease",NA,"Hart et al. (2004)",-0.0304592074847086,0.19062035960865,NA,NA
"14","Hart et al. (2004)","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J. (2004). Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies. Social Science and Medicine, 59(10), 2131-2138. https://doi.org/10.1016/j.socscimed.2004.03.016","Hart, C. L., Taylor, M. D., Smith, G. D., Whalley, L. J., Starr, J. M., Hole, D. J., Wilson, V., & Deary, I. J.","Childhood IQ and cardiovascular disease in adulthood: prospective observational study linking the Scottish Mental Survey 1932 and the Midspan studies","https://doi.org/10.1016/j.socscimed.2004.03.016",2004,"Social Science and Medicine","I.Deary@ed.ac.uk",166,8.73684210526316,"English","Journal article","Published","University of Edinburgh",NA,938,553,385,58.955223880597,538,400,11,76,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Children of the 1932 SMS were linked to the Midspan studies; thus, this study used a subset of the 1932 SMS sample","Moray House Test",NA,NA,NA,"Cardiovascular disease","National Health Service Central Register","Register data",NA,"HR",1.11,1.01,1.23,NA,1.11,0.104360015324243,0.00995033085316809,0.207014169384326,0.00252721238914998,0.0502713873803975,"sex",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-13,2022-09-28,"Web of Science",NA,NA,5,23,65,57,90,"Scottish Mental Survey 1932","None","No","Cardiovascular disease",NA,"Hart et al. (2004)",0.00995033085316809,0.207014169384326,NA,NA
"15","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,6186,316,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Diabetes and metabolic syndrome","Type II diabetes; Danish National registry of patients","Register data",NA,"HR",1.34,1.21,1.5,NA,1.34,0.29266961396282,0.19062035960865,0.405465108108164,0.0030038438383629,0.0548073338008966,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,42,36,56,92,"Danish conscripts","None","No","Diabetes and metabolic syndrome",NA,"Schmidt et al. (2013)",0.19062035960865,0.405465108108164,NA,NA
"16","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,6186,316,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Diabetes and metabolic syndrome","Type II diabetes; Danish National registry of patients","Register data",NA,"HR",1.18,1.02,1.36,NA,1.18,0.165514438477573,0.0198026272961797,0.307484699747961,0.00538584019745365,0.0733882837887196,"education, BMI",2,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,43,36,56,92,"Danish conscripts","Multivariate","Yes","Diabetes and metabolic syndrome",NA,"Schmidt et al. (2013)",0.0198026272961797,0.307484699747961,NA,NA
"17","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,5978,524,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Hypertension","Danish National registry of patients","Register data",NA,"HR",1.2,1.11,1.31,NA,1.2,0.182321556793955,0.104360015324243,0.27002713721306,0.00178607840970717,0.0422620208900044,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,44,36,56,92,"Danish conscripts","None","No","Hypertension",NA,"Schmidt et al. (2013)",0.104360015324243,0.27002713721306,NA,NA
"18","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,5978,524,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Hypertension","Danish National registry of patients","Register data",NA,"HR",1.14,1.01,1.27,NA,1.14,0.131028262406404,0.00995033085316809,0.2390169004705,0.00341469005858574,0.0584353493921765,"education, BMI",2,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,45,36,56,92,"Danish conscripts","Multivariate","Yes","Hypertension",NA,"Schmidt et al. (2013)",0.00995033085316809,0.2390169004705,NA,NA
"19","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,6342,160,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Stroke","Danish National registry of patients","Register data",NA,"HR",1.22,1.05,1.42,NA,1.22,0.198850858745165,0.048790164169432,0.350656871613169,0.00593004926742262,0.0770068131234024,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,46,36,56,92,"Danish conscripts","None","No","Stroke",NA,"Schmidt et al. (2013)",0.048790164169432,0.350656871613169,NA,NA
"20","Schmidt et al. (2013)","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T. (2013). Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death. Epidemiology, 24(5). https://doi.org/10.1097/EDE.0b013e31829e0ea2","Schmidt, M., Johannesdottir, S. A., Lemeshow, S., Lash, T. L., Ulrichsen, S. P., Bøtker, H. E., & Sørensen, H. T.","Cognitive Test Scores in Young Men and Subsequent Risk of Type 2 Diabetes, Cardiovascular Morbidity, and Death","https://doi.org/10.1097/EDE.0b013e31829e0ea2",2013,"Epidemiology","morten.schmidt@dce.au.dk",14,1.4,"English","Journal article","Published","Aarhus University Hospital",NA,6502,6502,0,100,6342,160,19,55,NA,1955,NA,NA,NA,NA,NA,"Danish conscripts 1955","Denmark","Cohort study","Potential partial sample overlap with Osler et al. (2017), but different condition","Børge Prien Prøve",NA,NA,NA,"Stroke","Danish National registry of patients","Register data",NA,"HR",1.12,0.91,1.38,NA,1.12,0.113328685307003,-0.0943106794712413,0.322083499169113,0.0112833267392216,0.106223004755192,"education, BMI",2,"Yes","BMI",NA,NA,NA,NA,"per SD lower IQ","Regression","HRs reported in supplement",2023-06-19,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",10,47,36,56,92,"Danish conscripts","BMI","Yes","Stroke",NA,"Schmidt et al. (2013)",-0.0943106794712413,0.322083499169113,NA,NA
"21","Christensen et al. (2018)","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M. (2018). Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men. Journal of Affective Disorders, 235, 162-167. https://doi.org/10.1016/j.jad.2018.04.035","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M.","Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men","https://doi.org/10.1016/j.jad.2018.04.035",2018,"Journal of Affective Disorders","kchristensen@health.sdu.dk",9,1.8,"English","Journal article","Published","University of Copenhagen",NA,666804,666804,0,100,647800,19004,19,59.8,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1939 to 1959","Denmark","Cohort study","Sample overlap with other Danish conscripts studies, but different condition","Børge Prien Prøve",NA,NA,NA,"Affective disorders","""first hospital discharge or death with a main or contributory diagnosis of MD""; Danish Psychiatric Central Research Register, Danish National Patient Register","Register data","Depression under 60 years was selected because it encompassed the largest possible sample size;","HR",1.23,1.21,1.24,NA,1.23,0.207014169384326,0.19062035960865,0.215111379616945,3.90338700702015e-05,0.00624770918578974,"birth year",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",11,48,40.8,56,85.5,"Danish conscripts","None","No","Affective disorders",NA,"Christensen et al. (2018)",0.19062035960865,0.215111379616945,NA,NA
"22","Christensen et al. (2018)","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M. (2018). Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men. Journal of Affective Disorders, 235, 162-167. https://doi.org/10.1016/j.jad.2018.04.035","Christensen, G. T., Rozing, M. P., Mortensen, E. L., Christensen, K., & Osler, M.","Young adult cognitive ability and subsequent major depression in a cohort of 666,804 Danish men","https://doi.org/10.1016/j.jad.2018.04.035",2018,"Journal of Affective Disorders","kchristensen@health.sdu.dk",9,1.8,"English","Journal article","Published","University of Copenhagen",NA,666804,666804,0,100,647800,19004,19,56.5,NA,NA,NA,NA,NA,NA,NA,"Danish conscripts 1939 to 1959","Denmark","Cohort study","Sample overlap with other Danish conscripts studies, but different condition","Børge Prien Prøve",NA,NA,NA,"Affective disorders","""first hospital discharge or death with a main or contributory diagnosis of MD""; Danish Psychiatric Central Research Register, Danish National Patient Register","Register data","Depression under 60 years was selected because it encompassed the largest possible sample size;","HR",1.21,1.18,1.23,NA,1.21,0.19062035960865,0.165514438477573,0.207014169384326,0.000112077498004275,0.010586666047641,"birth year, education",2,"Yes","Education",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",11,49,37.5,56,85.5,"Danish conscripts","Education","Yes","Affective disorders",NA,"Christensen et al. (2018)",0.165514438477573,0.207014169384326,NA,NA
"23","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1045141,4522,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Schizophrenia","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.6,1.55,1.65,NA,1.6,0.470003629245736,0.438254930931155,0.500775287912489,0.000254372854869938,0.0159490706585035,"age",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,53,22.6,63,95,"Swedish conscripts","None","No","Schizophrenia",NA,"Gale et al. (2010)",0.438254930931155,0.500775287912489,NA,NA
"24","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1045141,4522,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Schizophrenia","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.66,1.61,1.71,NA,1.66,0.506817602368452,0.476234178996372,0.536493370514568,0.000236305846680206,0.0153722427342339,"age, parental SES",2,"Yes","Parental SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,54,22.6,63,95,"Swedish conscripts","Parental SES","Yes","Schizophrenia",NA,"Gale et al. (2010)",0.476234178996372,0.536493370514568,NA,NA
"25","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1027517,22146,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Affective disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.5,1.47,1.51,NA,1.5,0.405465108108164,0.385262400790645,0.412109650826833,4.69059008294462e-05,0.00684878827453778,"age",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,55,22.6,63,95,"Swedish conscripts","None","No","Affective disorders",NA,"Gale et al. (2010)",0.385262400790645,0.412109650826833,NA,NA
"26","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1027517,22146,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Affective disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.49,1.47,1.51,NA,1.49,0.398776119957368,0.385262400790645,0.412109650826833,4.69059008294462e-05,0.00684878827453778,"age, parental SES",2,"Yes","Parental SES",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,56,22.6,63,95,"Swedish conscripts","Parental SES","Yes","Affective disorders",NA,"Gale et al. (2010)",0.385262400790645,0.412109650826833,NA,NA
"27","Gale et al. (2010)","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F. (2010). Intelligence in early adulthood and subsequent hospitalization for mental disorders. Epidemiology, 21(1), 70-77. https://doi.org/10.1097/EDE.0b013e3181c17da8","Gale, C. R., Batty, G. D., Tynelius, P., Deary, I. J., & Rasmussen, F.","Intelligence in early adulthood and subsequent hospitalization for mental disorders","https://doi.org/10.1097/EDE.0b013e3181c17da8",2010,"Epidemiology","crg@mrc.soton.ac.uk",170,13.0769230769231,"English","Journal article","Published","MRC Epidemiology Resource Centre",NA,1049663,1049663,0,100,1044517,5146,18.3,40.9,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1950 to 1976","Sweden","Cohort study","Examinations from 1969 to 1994","Swedish Enlistment Battery (Carlstedt & Mardberg, 1993)",NA,NA,NA,"Personality disorders","Swedish National Hospital Discharge Register","Register data","Swedish enlistment battery test","HR",1.75,1.7,1.8,NA,1.75,0.559615787935423,0.53062825106217,0.587786664902119,0.000212612210582754,0.0145812280203951,"age",1,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression",NA,2023-06-20,2022-09-28,"Deary et al. (2021)","Yes","IQ Means and SDs for case yes/no",13,57,22.6,63,95,"Swedish conscripts","None","No","Personality disorders",NA,"Gale et al. (2010)",0.53062825106217,0.587786664902119,NA,NA
