"Short.reference","Full.bibliographic.entry","Authors","Full.title","DOI","Year.of.publication","Source","Corresponding.author","Times.cited..Google.Scholar.","Cites.per.year","Language","Publication.type","Publication.status","Research.institution.of.first.or.senior.author","Additional.source.characteristics","N.total","N.male","N.female","Male.percentage","N.control","N.cases","Age.at.intelligence.assessment","Age.mean.at.time.of.health.measurement..total.","Age.SD.at.time.of.health.measurement..total.","Mean.birth.year","BMI.mean.control","BMI.SD.control","BMI.mean.disease","BMI.SD.disease","BMI.d","Sample.name","Country.of.sample","Sample.type","Additional.sample.characteristics","Method.of.intelligence.assessment","Intelligence.assement.domains","Validity.of.IQ.asssessment","IQ.test.used.for.validation","Health.outcome","Health.outcome.details","Health.outcome.source","Additional.measurement.characteristics","ES.type","ES","ES.LL","ES.UL","ES.p","ES.unidirectional","ES.ln","ES.ln.LL","ES.ln.UL","ES.ln.S2","ES.ln.SE","ES.adjusted.for","N..of.covariates","Adjustment.apart.from.age.and.sex","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave","Mean.control","SD.control","Mean.disease","SD.disease","Interpretation.of.effect","ES.from","Notes.results","Coding.date","Query.date","Database","Additional.data.required","List.of.required.parameters","Paper.ID","Effect.size.ID","Follow.up","latitude","haq","Include.in.sample.size.calculation","Sample.name_summarized","Adjustment.variables.apart.from.age.and.sex..birth.cohort..or.wave_rev","Adjustment.apart.from.age.and.sex_rev","Health.outcome_rev","Health.outcome_category_rev","Short.reference_rev","ES.ln.LL_trunc","ES.ln.UL_trunc","ES.ln.LL_arrow","ES.ln.UL_arrow","Country"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49945,223,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"General psychosis","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.6384,1.5333817100165,1.75061078560218,NA,1.6384,0.493720155863052,0.427475564340012,0.559964747386091,0.00114232244534943,0.0337982609811426,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,25,27.5,63,95,"No","Swedish conscripts","None","No","General psychosis",NA,"Zammit et al. (2004)",0.427475564340012,0.559964747386091,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49945,113,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Affective disorders","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.4161,1.29172933936766,1.55244535281801,NA,1.4161,0.347906614246876,0.255981893760872,0.43983133473288,0.00219964448053674,0.0469003675948999,"psychiatric diagnosis at conscription, drug use, place of upbringing, paternal age, disturbed behavior in childhood, family history of psychiatric illness, father’s occupation",7,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,26,27.5,63,95,"No","Swedish conscripts","Multivariate","Yes","Affective disorders",NA,"Zammit et al. (2004)",0.255981893760872,0.43983133473288,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49945,113,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Affective disorders","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.4884,1.36584951317178,1.62194629689148,NA,1.4884,0.39770171749033,0.311776589027001,0.48362684595366,0.00192188871861716,0.0438393512568008,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,27,27.5,63,95,"No","Swedish conscripts","None","No","Affective disorders",NA,"Zammit et al. (2004)",0.311776589027001,0.48362684595366,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49945,108,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Bipolar disorder","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",0.9801,0.885629641202318,1.08464753810172,NA,0.9801,-0.0201006717070029,-0.121456427955505,0.0812550845414991,0.0026741434102212,0.05171212053495,"psychiatric diagnosis at conscription, drug use, place of upbringing, paternal age, disturbed behavior in childhood, family history of psychiatric illness, father’s occupation",7,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,28,27.5,63,95,"No","Swedish conscripts","Multivariate","Yes","Bipolar disorder",NA,"Zammit et al. (2004)",-0.121456427955505,0.0812550845414991,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49161,362,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Bipolar disorder","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.1449,1.0478223612253,1.25097159452408,NA,1.1449,0.13531729694763,0.0467140688840377,0.223920525011222,0.00204355789860707,0.0452057286038735,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,29,27.5,63,95,"No","Swedish conscripts","None","No","Bipolar disorder",NA,"Zammit et al. (2004)",0.0467140688840377,0.223920525011222,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49161,362,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Schizophrenia","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.5876,1.50171925892677,1.67839211291816,NA,1.5876,0.462223441926773,0.406610624371661,0.517836259481885,0.000805077435552426,0.0283738865077103,"psychiatric diagnosis at conscription, drug use, place of upbringing, paternal age, disturbed behavior in childhood, family history of psychiatric illness, father’s occupation",7,"Yes","Multivariate",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,30,27.5,63,95,"No","Swedish conscripts","Multivariate","Yes","Schizophrenia",NA,"Zammit et al. (2004)",0.406610624371661,0.517836259481885,NA,NA,"Sweden"
"Zammit et al. (2004)","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G. (2004). A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses. Archives of General Psychiatry, 61(4), 354-360. https://doi.org/10.1001/archpsyc.61.4.354","Zammit, S., Allebeck, P., David, A. S., Dalman, C., Hemmingsson, T., Lundberg, I., & Lewis, G.","A Longitudinal Study of Premorbid IQ Score and Risk of Developing Schizophrenia,Bipolar Disorder, Severe Depression, and Other Nonaffective Psychoses.","https://doi.org/10.1001/archpsyc.61.4.354",2004,"JAMA Psychiatry","zammits@cardiff.ac.uk",580,30.5263157894737,"English","Journal article","Published","University of Wales College of Medicine",NA,50053,50053,0,100,49161,362,18.5,46,NA,NA,NA,NA,NA,NA,NA,"Swedish conscripts 1949 to 1952","Sweden","Cohort study",NA,"Verbal, visuospatial, general knowledge, mechanical knowledge",NA,NA,NA,"Schizophrenia","Did the person develop any psychosis by the age of follow-up, yes or no?  Swedish National Hospital Discharge Register","Register data",NA,"OR",1.6641,1.58256851824067,1.74983185756692,NA,1.6641,0.509284436747161,0.459049171565344,0.559519701928979,0.000656909065984878,0.0256302373376619,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Regression","ES converted from nonstandardized OR on Stanine Scale by multiplying the logOR by two and shifting the CI accordingly",2023-06-12,2022-09-28,"Other","Yes","IQ Means and SDs for case yes/no; Standardized Ors",6,31,27.5,63,95,"No","Swedish conscripts","None","No","Schizophrenia",NA,"Zammit et al. (2004)",0.459049171565344,0.559519701928979,NA,NA,"Sweden"
"Jones et al. (1994)","Jones, P., Murray, R., Jones, P., Rodgers, B., & Marmot, M. (1994). Child developmental risk factors for adult schizophrenia in the British 1946 birth cohort. The Lancet, 344(8934), 1398-1402. https://doi.org/10.1016/S0140-6736(94)90569-X","Jones, P., Murray, R., Jones, P., Rodgers, B., & Marmot, M.","Child developmental risk factors for adult schizophrenia in the British 1946 birth cohort.","https://doi.org/10.1016/S0140-6736(94)90569-X",1994,"The Lancet","Jones, P.",1806,62.2758620689655,"English","Journal article","Published","Institute of Psychiatry, DeCrespigny Park, London",NA,4746,2477,2269,52.1913190054783,4716,30,8,43,NA,1946,NA,NA,NA,NA,NA,"British 1946 Birth Cohort","UK","Cohort study",NA,"Nonverbal intelligence (nonverbal educational achievement, expressed as IQ)",NA,NA,NA,"Schizophrenia","Risk of schizophrenia in later life; diagnosis was determined based on \"clinical material extracted from hospiotal case notes\" (p.1399)","Hospital case data",NA,"OR",2.02867273,1.05770901,3.89096908,0.05,2.02867273,0.707381751629019,0.05610525779909,1.35865824742754,0.110412607428546,0.332283925925624,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,7,32,35,55,90,"Yes","British 1946 Birth Cohort","None","No","Schizophrenia",NA,"Jones et al. (1994)",0.05610525779909,1.3,NA,1.3,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"General psychosis","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.47291903,0.47791142,4.53952417,NA,1.47291903,0.387246166519516,-0.738329877470938,1.51282219819043,0.329790039811178,0.574273488689125,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,33,66,57,90,"No","Scottish Mental Survey 1932","None","No","General psychosis",NA,"Walker et al. (2002)",-0.6,1.3,-0.6,1.3,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"General psychosis","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.3987135,0.84343038,2.31957432,NA,1.3987135,0.335552885576089,-0.170277917450498,0.841383686084577,0.0666037067932085,0.258076939677315,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,34,66,57,90,"No","Scottish Mental Survey 1932","None","No","General psychosis",NA,"Walker et al. (2002)",-0.170277917450498,0.841383686084577,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"General psychosis","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.19865316,0.77364378,1.85714592,NA,1.19865316,0.181198559802139,-0.256643743890059,0.619040857635633,0.0499026135821799,0.223388928960636,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,35,66,57,90,"No","Scottish Mental Survey 1932","None","No","General psychosis",NA,"Walker et al. (2002)",-0.256643743890059,0.619040857635633,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"Affective disorders","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.16838679,0.8787495,1.55348901,NA,1.16838679,0.155623985407966,-0.129255404847467,0.440503375477696,0.021125642164568,0.14534662763397,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,36,66,57,90,"No","Scottish Mental Survey 1932","None","No","Affective disorders",NA,"Walker et al. (2002)",-0.129255404847467,0.440503375477696,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"Schizophrenia","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.31936234,0.70205946,2.47944379,NA,1.31936234,0.277148544122019,-0.35373717768854,0.908034256796962,0.103607035667665,0.321880467980995,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,37,66,57,90,"No","Scottish Mental Survey 1932","None","No","Schizophrenia",NA,"Walker et al. (2002)",-0.35373717768854,0.908034256796962,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"Alcohol- and drug related disorders","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",0.94703997,0.59420592,1.50938366,NA,0.94703997,-0.054413979717371,-0.520529353027831,0.411701395316461,0.0565554826217304,0.23781396641436,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,38,66,57,90,"No","Scottish Mental Survey 1932","None","No","Alcohol- and drug related disorders",NA,"Walker et al. (2002)",-0.520529353027831,0.411701395316461,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"Dementia and MCI","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.38608591,0.91595105,2.09752929,0.026,1.38608591,0.326483882973759,-0.0877923546005426,0.740760123504872,0.0446753441908725,0.211365428088116,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,39,66,57,90,"No","Scottish Mental Survey 1932","None","No","Dementia and MCI",NA,"Walker et al. (2002)",-0.0877923546005426,0.740760123504872,NA,NA,"UK"
"Walker et al. (2002)","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J. (2002). Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey. Intelligence, 30(3), 233-245. https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8","Walker, N. P., McConville, P. M., Hunter, D., Deary, I. J., & Whalley, L. J.","Childhood mental ability and lifetime psychiatric contact: A 66-year follow-up study of the 1932 Scottish Mental Ability Survey","https://doi.org/https://doi.org/10.1016/S0160-2896(01)00098-8",2002,"Intelligence","l.j.whalley@abdn.ac.uk",59,2.80952380952381,"English","Journal article","Published","University of Aberdeen",NA,4199,2079,2120,49.5117885210764,3764,435,11,77,NA,1921,NA,NA,NA,NA,NA,"Scottish Mental Survey 1932","Scotland","Cohort study","Only students from schools in northeast Scotland","Moray House Test",NA,NA,NA,"General mental health disorders","Northeast Scottish Psychiatric Case Register; Risk of having a psychiatric disorder up to age of 77","Register data","MHT validated using Stanford-Binet Test","OR",1.227,1.0248,1.4691,0.026,1.227,0.204572165728774,0.0244974716003874,0.384649968394244,0.00844113266261773,0.0918756369372084,NA,0,"No","None",NA,NA,NA,NA,"per SD lower IQ","Mean difference","OR calculated from d",2023-06-05,2022-09-28,"Other","No",NA,8,40,66,57,90,"No","Scottish Mental Survey 1932","None","No","General mental health disorders",NA,"Walker et al. (2002)",0.0244974716003874,0.384649968394244,NA,NA,"UK"
